run_id,task_id,op_family,entrypoint,historical_policy_pass,current_policy_pass,current_rejection_reason,historical_verification_pass,candidate_path,evidence_status
20260520_202314,KernelBench__level1__10_3D_tensor_matrix_multiplication,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__10_3D_tensor_matrix_multiplication/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__11_4D_tensor_matrix_multiplication,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__11_4D_tensor_matrix_multiplication/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__12_Matmul_with_diagonal_matrices_,matmul,free_forward,true,true,,true,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__12_Matmul_with_diagonal_matrices_/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__13_Matmul_for_symmetric_matrices,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__13_Matmul_for_symmetric_matrices/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__14_Matmul_for_upper_triangular_matrices,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__14_Matmul_for_upper_triangular_matrices/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__15_Matmul_for_lower_triangular_matrices,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__15_Matmul_for_lower_triangular_matrices/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__16_Matmul_with_transposed_A,matmul,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__16_Matmul_with_transposed_A/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__41_Max_Pooling_1D,pooling,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__41_Max_Pooling_1D/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__42_Max_Pooling_2D,pooling,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__42_Max_Pooling_2D/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__44_Average_Pooling_1D,pooling,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__44_Average_Pooling_1D/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__50_conv_standard_2D__square_input__square_kernel,convolution,free_forward,true,false,obvious_torch_fallback:torch.nn.functional.conv2d,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__50_conv_standard_2D__square_input__square_kernel/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__54_conv_standard_3D__square_input__square_kernel,convolution,free_forward,true,false,obvious_torch_fallback:F.conv3d,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__54_conv_standard_3D__square_input__square_kernel/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__55_conv_standard_2D__asymmetric_input__square_kernel,convolution,free_forward,true,false,obvious_torch_fallback:F.conv2d,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__55_conv_standard_2D__asymmetric_input__square_kernel/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__56_conv_standard_2D__asymmetric_input__asymmetric_kernel,convolution,free_forward,true,true,,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__56_conv_standard_2D__asymmetric_input__asymmetric_kernel/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__57_conv_transposed_2D__square_input__square_kernel,convolution,free_forward,true,false,obvious_torch_fallback:torch.nn.functional.conv_transpose2d,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__57_conv_transposed_2D__square_input__square_kernel/candidate_000.py,historical_adapter_output_only
20260520_202314,KernelBench__level1__58_conv_transposed_3D__asymmetric_input__asymmetric_kernel,convolution,free_forward,true,false,import_time_call:ConvTranspose3DWrapper.cuda.eval,false,artifacts/runpod_imports/runs/20260520_202314/candidates/KernelBench__level1__58_conv_transposed_3D__asymmetric_input__asymmetric_kernel/candidate_000.py,historical_adapter_output_only
