study,task,tau,session_speedups_available,artifact_label,artifact_speedup_vs_eager,label_at_tau,artifact_source,notes
fused8,bias_relu,0.95,no,SINGLE_RUN_ONLY_WIN,0.976,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,bias_relu,0.97,no,SINGLE_RUN_ONLY_WIN,0.976,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,bias_relu,0.98,no,SINGLE_RUN_ONLY_WIN,0.976,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally; artifact label is preserved for implemented default tau/CV path
fused8,bias_relu,0.99,no,SINGLE_RUN_ONLY_WIN,0.976,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,residual,0.95,no,REPEAT_STABLE_WIN,1.074,not preserved,runs/20260520_163607,full per-session fused8 speedups are not preserved locally
fused8,residual,0.97,no,REPEAT_STABLE_WIN,1.074,not preserved,runs/20260520_163607,full per-session fused8 speedups are not preserved locally
fused8,residual,0.98,no,REPEAT_STABLE_WIN,1.074,not preserved,runs/20260520_163607,full per-session fused8 speedups are not preserved locally; artifact label is preserved for implemented default tau/CV path
fused8,residual,0.99,no,REPEAT_STABLE_WIN,1.074,not preserved,runs/20260520_163607,full per-session fused8 speedups are not preserved locally
fused8,bias_gelu,0.95,no,REPEAT_STABLE_WIN,1.485,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,bias_gelu,0.97,no,REPEAT_STABLE_WIN,1.485,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,bias_gelu,0.98,no,REPEAT_STABLE_WIN,1.485,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally; artifact label is preserved for implemented default tau/CV path
fused8,bias_gelu,0.99,no,REPEAT_STABLE_WIN,1.485,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,rmsnorm,0.95,no,REPEAT_STABLE_WIN,1.452,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,rmsnorm,0.97,no,REPEAT_STABLE_WIN,1.452,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
fused8,rmsnorm,0.98,no,REPEAT_STABLE_WIN,1.452,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally; artifact label is preserved for implemented default tau/CV path
fused8,rmsnorm,0.99,no,REPEAT_STABLE_WIN,1.452,not preserved,runs/20260520_155839,full per-session fused8 speedups are not preserved locally
KernelBench,CrossEntropyLoss,0.95,no,REPEAT_STABLE_WIN,1.9916233370048544,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench,CrossEntropyLoss,0.97,no,REPEAT_STABLE_WIN,1.9916233370048544,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench,CrossEntropyLoss,0.98,no,REPEAT_STABLE_WIN,1.9916233370048544,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector; artifact label is preserved for implemented default tau/CV path
KernelBench,CrossEntropyLoss,0.99,no,REPEAT_STABLE_WIN,1.9916233370048544,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench,TripletMarginLoss,0.95,no,REPEAT_STABLE_WIN,4.175883853686833,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench,TripletMarginLoss,0.97,no,REPEAT_STABLE_WIN,4.175883853686833,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench,TripletMarginLoss,0.98,no,REPEAT_STABLE_WIN,4.175883853686833,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector; artifact label is preserved for implemented default tau/CV path
KernelBench,TripletMarginLoss,0.99,no,REPEAT_STABLE_WIN,4.175883853686833,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_202314/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench repair,KLDivLoss,0.95,no,REPEAT_STABLE_WIN,1.842578755837021,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_213128/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench repair,KLDivLoss,0.97,no,REPEAT_STABLE_WIN,1.842578755837021,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_213128/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
KernelBench repair,KLDivLoss,0.98,no,REPEAT_STABLE_WIN,1.842578755837021,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_213128/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector; artifact label is preserved for implemented default tau/CV path
KernelBench repair,KLDivLoss,0.99,no,REPEAT_STABLE_WIN,1.842578755837021,not preserved,/Users/mazalcohen/Downloads/kernel try/artifacts/runpod_imports/runs/20260520_213128/results.jsonl,KernelBench artifact preserves stable_above_eager at tau=0.98 but not per-session speedup vector
